index,UF,ano,idade,sexo,escola,cor_raca,NOTA_LC,NOTA_MT,NOTA_CN,NOTA_CH,NOTA_REDACAO
0,SP,2016,21.0,F,1,1,510.3,454.2,411.7,525.1,520.0
1,PB,2016,21.0,F,1,3,,,,,
2,SP,2016,17.0,F,3,1,586.9,627.0,519.0,587.9,600.0
3,PA,2016,19.0,F,1,3,,,,,
4,MT,2016,16.0,M,1,3,390.4,347.7,489.4,502.8,500.0
5,MG,2016,53.0,F,1,3,,,,,
6,PB,2016,16.0,F,1,1,558.7,487.3,555.3,550.1,740.0
7,SP,2016,32.0,M,1,3,526.7,552.3,476.1,493.0,520.0
8,RJ,2016,52.0,F,1,3,,,,,
9,PE,2016,17.0,F,2,3,,,,,
10,AP,2016,16.0,M,1,1,521.0,414.2,448.2,572.7,520.0
11,SP,2016,16.0,F,1,1,546.7,459.8,518.5,582.3,560.0
12,MG,2016,23.0,F,1,2,515.5,442.3,467.2,550.2,780.0
13,BA,2016,28.0,M,1,2,,,,,
14,CE,2016,18.0,F,2,3,592.9,464.4,534.7,535.6,680.0
15,AP,2016,29.0,F,1,3,584.9,424.2,444.4,592.5,600.0
16,MG,2016,22.0,F,1,2,,,,,
17,PE,2016,24.0,F,1,1,,,,,
18,PI,2016,19.0,F,1,3,461.3,389.8,408.8,464.5,360.0
19,MG,2016,19.0,M,1,3,,,,,
20,PR,2016,17.0,M,1,1,403.6,408.2,436.0,514.3,300.0
21,MA,2016,16.0,F,1,3,552.8,534.6,392.4,479.5,520.0
22,CE,2016,16.0,F,1,1,,,,,
23,RS,2016,18.0,M,1,1,461.0,524.6,457.4,487.9,380.0
24,GO,2016,18.0,F,2,3,474.9,384.0,400.4,418.0,540.0
25,MG,2016,19.0,F,1,3,539.2,412.5,509.5,577.5,620.0
26,AM,2016,16.0,F,1,1,590.6,380.5,555.8,631.3,720.0
27,BA,2016,29.0,F,1,2,425.9,387.6,401.1,359.3,360.0
28,RS,2016,19.0,M,1,1,486.3,441.7,485.8,449.2,520.0
29,PA,2016,44.0,F,1,3,,,,,
30,SP,2016,25.0,M,1,2,544.9,658.2,585.7,600.3,580.0
31,CE,2016,18.0,M,2,1,480.3,434.5,451.8,412.7,360.0
32,RJ,2016,39.0,F,1,1,,,,,
33,PR,2016,22.0,F,2,4,,,,,
34,BA,2016,35.0,M,1,3,,,,,
35,MG,2016,20.0,M,1,1,467.8,528.4,512.2,423.1,520.0
36,PI,2016,25.0,M,1,3,,,,,
37,BA,2016,36.0,F,1,1,639.3,744.0,670.2,679.5,580.0
38,PB,2016,24.0,F,1,3,468.5,385.5,407.7,435.8,540.0
39,DF,2016,21.0,M,1,3,594.4,379.4,472.8,572.0,600.0
40,MT,2016,57.0,F,1,3,428.8,408.0,437.4,547.3,300.0
41,SP,2016,17.0,F,2,3,520.0,594.9,408.6,478.3,520.0
42,SP,2016,17.0,F,2,3,,,,,
43,MG,2016,18.0,F,1,3,,,,,
44,MG,2016,19.0,M,1,2,459.1,377.2,474.1,540.4,460.0
45,SC,2016,17.0,M,2,1,,,455.9,489.7,
46,PB,2016,18.0,M,1,3,548.4,345.3,390.8,551.9,460.0
47,RJ,2016,24.0,M,1,2,,,,,
48,PE,2016,20.0,M,1,3,484.7,408.0,463.3,443.4,500.0
49,SP,2016,16.0,M,1,3,554.8,454.5,479.4,516.1,340.0
50,GO,2016,21.0,F,1,3,419.4,525.2,501.0,425.7,440.0
51,SP,2016,16.0,M,2,3,,,,,
52,RJ,2016,20.0,F,1,3,,,,,
53,MG,2016,19.0,M,1,2,,,,,
54,BA,2016,17.0,F,1,3,481.2,494.0,371.1,529.3,560.0
55,RJ,2016,17.0,F,2,1,569.1,559.9,416.9,552.2,520.0
56,RJ,2016,27.0,M,1,3,,,,,
57,CE,2016,16.0,F,1,3,401.3,443.5,471.9,554.7,460.0
58,PI,2016,34.0,F,2,3,,,,,
59,RN,2016,31.0,M,1,3,,,,,
60,ES,2016,27.0,M,1,1,,,,,
61,GO,2016,18.0,M,1,3,,,,,
62,RJ,2016,17.0,F,2,1,500.4,349.5,493.6,502.1,540.0
63,MG,2016,34.0,F,1,3,,,,,
64,SE,2016,26.0,F,1,3,,,,,
65,PR,2016,23.0,F,1,3,,,,,
